popDensity,unemployRate,medianAge,percentOfPopOver65,medianWorkerEarning,percentOfPopWithBADegreeOrHigher,percentOfPop_passedHighSchool,percentOfPopInEducation,percentOfPopInSciOrEngineering,percentOfPop_WhitePlus,percentOfPop_Black,percentOfPop_AsianPlus,percentOfPop_Other
213.22,0.50,35.00,15.80,20927.00,12.96,75.83,5.37,3.31,29.80,72.10,0.00,8.70
1057.25,0.50,44.60,24.10,30791.00,17.00,88.92,3.14,6.83,99.60,0.00,1.70,3.10
640.57,0.00,46.10,20.70,33750.00,19.00,87.20,5.82,6.97,99.10,0.00,0.00,5.70
1060.25,1.00,37.80,17.50,22544.00,12.75,82.32,2.95,4.31,82.10,17.80,1.50,6.70
1081.50,0.00,29.20,17.50,21807.00,15.01,85.78,3.82,4.58,98.50,1.10,1.80,4.70
1050.85,1.00,36.60,15.70,30735.00,13.86,84.66,2.88,4.96,95.70,4.10,0.40,3.60
1131.35,0.50,41.70,19.40,29208.00,16.98,25.51,2.21,6.97,94.00,4.20,1.60,2.70
908.51,0.00,47.10,25.20,31059.00,21.32,85.92,5.89,6.31,97.10,3.20,0.70,4.00
591.39,0.00,34.20,17.70,39432.00,12.67,89.38,2.40,6.51,99.30,3.90,0.50,3.70
332.22,0.50,31.80,8.90,42500.00,22.51,93.94,4.33,12.55,99.70,1.70,0.30,1.70
1344.00,1.00,44.90,15.40,28750.00,8.70,89.23,1.24,4.14,97.50,0.00,0.50,5.40
230.44,0.00,38.70,10.90,40298.00,8.82,92.02,2.10,2.52,100.00,0.00,0.00,0.00
456.35,1.00,53.50,17.20,31250.00,9.76,95.12,0.00,1.22,100.00,0.00,0.00,0.00
618.26,0.00,32.20,11.40,44602.00,33.41,93.46,6.30,18.04,99.20,0.00,0.20,1.60
181.50,0.50,38.50,20.40,27083.00,22.82,84.22,8.50,9.47,85.70,0.00,0.00,15.10
1029.24,0.50,39.60,18.00,25375.00,16.84,83.36,6.57,4.50,97.90,2.60,0.80,9.30
182.04,0.00,26.50,3.30,19688.00,1.56,65.63,0.00,1.56,100.00,0.00,0.00,0.00
0.32,0.00,27.90,23.00,28750.00,0.93,81.48,0.00,0.00,96.00,0.00,0.00,4.00
357.14,0.50,43.80,24.60,23750.00,15.73,80.93,5.87,7.60,98.10,1.90,0.00,3.40
732.32,0.00,43.50,19.20,22325.00,9.70,81.42,1.10,3.42,94.20,4.90,0.00,4.20
1193.80,1.00,28.80,12.20,20359.00,19.05,84.84,3.34,6.45,52.40,46.10,2.00,2.10
1273.21,0.50,35.80,11.80,23400.00,14.72,86.35,3.14,4.43,15.10,84.00,0.60,1.10
1267.15,0.50,35.40,14.60,26201.00,25.72,89.55,5.07,8.05,48.20,50.50,2.20,4.60
1896.63,0.00,37.70,15.20,34388.00,10.09,75.03,2.67,2.99,60.00,38.90,1.90,11.00
991.79,0.00,40.70,20.00,22271.00,22.48,89.79,3.37,8.15,94.00,3.10,3.50,4.10
298.56,0.00,41.70,17.00,34412.00,32.84,91.07,4.61,14.98,98.00,2.30,1.30,2.70
394.82,0.50,40.80,22.20,26426.00,27.75,91.19,3.39,8.76,97.60,1.50,1.40,4.50
281.88,0.00,39.70,16.80,32964.00,25.06,88.08,3.46,11.34,96.00,2.60,2.00,12.80
3949.04,1.00,36.70,16.00,45058.00,26.42,88.17,2.94,8.10,8.40,88.90,0.80,8.10
4169.90,0.50,35.00,9.10,45415.00,38.71,86.65,3.31,19.30,33.50,53.40,8.30,12.70
3944.43,0.50,37.90,16.80,55788.00,60.39,94.20,3.76,35.87,59.90,12.80,23.80,13.90
6604.78,1.00,38.60,11.20,42187.00,52.31,87.80,2.37,25.10,52.80,38.00,7.10,12.60
3991.31,0.50,34.90,13.30,31945.00,25.92,87.56,1.98,14.19,72.70,15.60,8.30,12.30
1927.57,0.50,40.20,17.50,32314.00,15.87,82.23,1.83,7.43,88.00,5.60,2.70,8.30
843.12,1.00,43.70,19.10,31756.00,24.69,87.32,3.40,11.01,89.90,7.60,2.20,6.80
1289.16,0.50,40.90,14.90,43584.00,28.48,86.27,3.13,12.96,90.10,4.40,5.10,4.60
1241.98,1.00,30.90,16.30,18953.00,15.08,94.29,4.70,4.35,95.30,3.70,0.30,2.90
1548.71,0.50,21.80,8.10,7355.00,21.72,96.44,2.06,13.62,84.80,3.70,11.20,5.20
1121.16,0.50,37.10,11.00,37422.00,16.74,85.42,3.99,5.26,92.90,5.20,0.20,4.50
4750.11,0.00,41.10,17.90,47014.00,33.78,92.39,3.99,15.55,94.90,2.00,2.50,4.40
253.25,0.50,56.30,32.40,31771.00,8.53,87.60,1.55,3.88,100.00,0.00,0.00,0.00
84.92,0.00,35.90,10.80,38500.00,14.95,91.59,2.80,8.41,100.00,0.00,0.00,5.00
1351.11,1.00,52.50,13.20,25625.00,1.05,93.68,0.00,1.05,100.00,0.00,0.00,0.00
188.40,1.00,30.00,8.20,12386.00,6.87,79.39,0.00,6.87,88.00,8.90,0.00,18.40
635.69,1.00,33.90,13.50,31209.00,11.76,75.18,1.36,6.11,20.00,80.00,0.10,0.10
713.97,1.00,39.20,18.30,22038.00,12.08,79.28,1.22,4.51,28.30,67.10,2.40,2.60
864.32,1.00,32.90,14.30,20665.00,17.19,73.11,5.57,3.97,17.30,81.20,0.10,2.20
806.71,1.00,27.00,10.80,18415.00,32.04,91.01,4.69,16.34,58.60,38.00,4.40,3.50
781.59,0.00,35.50,22.90,28750.00,9.44,81.27,3.07,2.78,98.90,1.30,1.10,4.30
1606.10,0.00,36.10,10.40,33092.00,17.08,87.48,1.52,11.95,98.50,2.10,0.30,4.20
586.36,1.00,37.30,20.20,21071.00,6.48,86.45,1.77,2.50,97.50,1.30,0.00,6.20
200.48,0.00,59.50,22.00,28750.00,17.31,73.08,13.46,3.85,100.00,0.00,10.20,10.20
532.61,0.00,41.60,23.90,24185.00,15.65,93.33,5.31,4.08,98.50,2.00,0.90,2.50
1435.63,0.50,43.40,24.50,31265.00,14.60,81.31,7.52,1.33,96.70,0.00,0.00,4.70
242.65,0.00,64.70,46.10,14861.00,12.50,92.50,6.25,3.75,100.00,0.00,0.00,0.00
810.33,0.50,37.10,22.00,19811.00,25.11,90.19,3.44,12.10,78.70,1.80,0.80,30.00
1063.09,0.50,43.70,21.40,33603.00,19.13,85.04,4.73,6.94,98.60,0.20,0.60,5.40
1816.84,0.00,31.50,13.10,26033.00,27.81,91.87,6.39,9.43,93.70,2.30,2.60,6.50
977.60,0.00,40.60,23.10,31409.00,17.08,90.59,4.71,7.82,96.20,0.40,0.30,11.70
521.75,0.00,52.50,30.80,24792.00,14.25,92.52,5.14,4.44,98.60,1.40,0.00,0.00
1088.90,0.00,39.30,23.40,32684.00,16.25,86.57,8.24,2.71,93.90,3.20,0.90,4.40
162.84,1.00,38.90,9.40,42500.00,4.12,89.00,0.47,2.47,89.70,2.70,1.10,7.80
477.71,0.50,60.20,40.70,26378.00,21.74,85.26,5.57,8.01,88.60,1.10,3.30,10.90
81.74,1.00,38.90,20.80,27568.00,11.88,72.26,1.66,8.26,70.00,1.70,0.50,29.50
63.46,0.50,52.80,30.40,34300.00,27.49,91.95,4.86,14.42,95.60,0.60,3.50,8.80
972.20,0.50,39.20,13.40,35530.00,22.67,88.53,2.32,10.47,87.20,3.70,9.90,6.40
239.27,0.00,41.20,16.90,33348.00,17.44,87.16,3.21,6.87,97.10,2.90,1.00,1.10
244.81,0.00,45.90,19.30,31057.00,15.75,89.60,3.64,5.35,98.30,1.00,1.00,1.80
1115.64,0.00,40.30,18.10,44391.00,49.97,92.42,3.89,21.58,91.60,3.70,5.90,5.60
2463.87,1.00,43.40,12.80,33050.00,17.21,86.80,1.82,7.11,70.60,31.50,1.40,23.30
3397.87,0.50,37.80,17.10,48131.00,33.58,90.78,4.70,15.53,81.90,13.80,4.70,2.90
3877.58,1.00,37.10,15.10,30635.00,24.72,80.82,3.39,11.07,69.60,16.50,3.00,16.40
11677.78,0.00,36.20,11.20,38359.00,17.06,83.96,2.14,6.67,86.50,5.70,3.50,11.10
621.56,1.00,34.40,19.50,16477.00,11.59,65.80,3.28,3.71,90.10,2.20,1.00,7.50
229.00,0.00,35.20,14.90,29023.00,9.70,79.46,1.32,4.47,93.10,0.00,0.00,14.30
714.73,0.50,39.80,16.90,33677.00,25.70,92.37,3.37,10.33,84.20,4.00,3.10,18.30
388.22,0.50,40.50,22.60,17350.00,10.48,80.12,2.06,4.60,88.10,2.80,1.50,9.80
2266.77,0.00,39.20,19.60,28882.00,20.31,87.10,4.44,6.78,91.40,7.90,1.10,7.20
1378.01,0.50,38.50,17.70,30397.00,21.35,88.17,4.73,8.84,92.90,5.80,2.00,5.10
952.13,1.00,43.30,19.50,22500.00,23.01,87.58,5.16,9.21,97.80,1.10,0.90,0.60
2620.94,0.00,29.40,16.00,22025.00,20.55,89.01,4.76,8.74,89.70,5.60,3.90,6.00
903.54,0.50,42.30,22.00,22097.00,18.34,77.69,4.11,6.46,53.10,43.30,1.80,11.50
1126.21,1.00,42.70,21.60,22813.00,14.80,80.31,3.10,4.64,51.60,43.00,0.20,7.40
1880.83,0.50,34.10,12.20,34857.00,43.21,91.84,3.69,23.51,50.70,41.00,6.30,8.00
849.56,0.50,23.30,4.70,25301.00,10.69,94.06,1.40,4.23,72.40,22.60,4.20,13.40
180.00,0.00,27.90,12.30,31250.00,12.78,92.22,5.56,6.11,100.00,0.00,0.00,0.00
962.78,0.00,42.70,9.00,44659.00,11.56,85.55,1.16,3.47,100.00,0.00,0.00,2.60
603.02,0.00,30.70,8.30,48750.00,12.26,89.62,0.94,4.25,97.90,0.00,1.00,4.10
1932.63,1.00,35.10,17.70,20734.00,14.24,85.79,2.89,5.87,89.80,10.90,1.50,6.10
1559.61,0.50,38.70,17.40,27945.00,13.38,85.98,3.64,4.50,95.30,1.00,0.10,5.90
340.48,0.00,49.50,21.80,46766.00,37.01,90.40,6.22,14.21,98.40,1.10,2.10,3.30
1050.30,0.50,40.20,20.00,30685.00,14.09,88.19,3.34,5.59,95.70,2.10,0.30,6.40
700.10,0.50,31.60,14.60,26463.00,23.54,85.94,5.49,8.55,82.30,6.00,2.80,44.20
448.75,0.50,37.30,16.20,31652.00,12.35,82.93,3.60,5.34,85.40,5.90,0.40,56.60
184.03,1.00,34.60,12.30,25753.00,11.66,82.39,2.30,4.05,72.60,7.30,1.00,31.30
976.52,1.00,41.20,22.60,26573.00,11.23,81.42,3.41,3.84,92.60,0.50,0.00,22.10
2355.32,1.00,36.80,15.30,31879.00,23.16,87.93,3.43,11.12,92.00,1.80,2.70,12.50
3638.75,0.50,36.60,13.50,29525.00,17.61,82.56,3.02,8.26,84.10,7.60,6.00,14.90
823.71,1.00,41.20,22.00,26315.00,16.18,83.68,2.57,7.89,92.80,1.90,3.60,16.20
1898.28,1.00,29.10,11.10,20752.00,8.83,85.45,0.83,3.83,38.60,68.00,0.30,17.20
4021.32,1.00,35.80,16.10,24018.00,18.25,84.61,3.52,7.05,77.20,20.10,3.50,7.90
1073.13,0.50,45.00,20.50,26691.00,19.80,81.42,5.42,8.06,97.30,2.50,0.90,2.80
514.71,0.00,42.60,22.40,32250.00,12.58,80.73,5.07,6.49,98.50,1.50,0.00,0.00
6988.06,1.00,30.60,11.70,25786.00,22.78,83.28,1.92,11.00,57.30,18.30,7.40,26.10
2235.34,0.50,38.10,15.10,38487.00,28.93,90.57,3.30,12.10,82.10,8.00,7.20,10.10
4214.23,1.00,37.20,13.70,31149.00,14.38,77.85,1.65,6.19,78.90,11.80,6.70,11.40
424.66,0.50,39.10,17.50,21298.00,8.90,77.69,2.42,1.65,41.30,58.20,0.00,3.30
602.89,1.00,38.70,14.80,30929.00,17.65,81.97,8.05,5.03,84.50,13.20,1.80,2.30
693.38,0.00,56.20,30.60,47094.00,65.93,97.85,6.89,30.67,97.10,0.30,3.60,4.70
1176.48,1.00,29.90,14.00,18075.00,19.60,86.66,5.21,7.64,23.00,75.80,0.60,5.40
251.37,0.00,50.30,27.10,20795.00,16.39,80.87,7.65,5.19,55.80,0.20,0.00,54.20
895.64,0.00,50.80,32.60,26250.00,28.34,91.82,5.99,8.38,93.20,0.00,0.00,11.00
253.91,1.00,26.70,10.70,30625.00,10.82,90.21,2.58,5.67,92.10,0.00,0.00,7.90
150.21,0.00,40.60,19.40,30398.00,12.28,84.27,1.94,3.23,99.10,0.20,0.70,8.00
439.93,0.00,44.20,18.60,71133.00,73.15,95.14,6.88,27.19,96.30,0.60,2.60,1.30
1027.68,1.00,31.50,7.20,32019.00,17.15,80.80,2.49,6.96,68.00,24.50,2.70,11.10
776.41,1.00,30.00,14.70,23011.00,22.20,87.75,4.16,9.74,92.50,5.00,2.50,4.70
851.52,0.50,33.10,12.20,24819.00,9.62,75.26,2.44,3.29,75.20,18.00,0.10,16.30
1407.43,1.00,32.70,13.20,26912.00,13.77,71.32,3.14,6.21,68.20,15.70,0.70,22.30
472.55,1.00,29.80,14.60,24423.00,6.35,76.56,3.07,1.13,90.50,1.70,0.00,7.80
299.37,0.50,36.10,14.90,29500.00,6.78,78.39,1.20,1.91,84.90,12.50,0.60,6.20
935.59,0.50,33.40,14.90,32150.00,7.03,60.68,3.12,2.13,92.50,6.00,0.00,7.50
1022.69,0.00,31.40,7.90,39737.00,21.84,87.20,3.22,9.53,89.00,0.50,4.90,13.00
456.62,0.50,33.70,11.70,25804.00,12.54,88.74,2.25,3.62,99.00,0.00,0.10,0.80
184.78,0.50,30.40,8.60,38333.00,20.21,86.99,2.99,8.28,95.30,0.60,2.30,6.20
912.69,0.00,31.80,13.20,25894.00,14.50,85.97,2.85,5.73,95.80,0.10,0.30,11.00
89.22,0.50,35.10,12.60,34852.00,27.57,89.57,3.13,10.34,92.80,4.60,1.50,11.50
1767.34,0.50,41.40,18.20,33750.00,21.01,84.02,3.26,7.51,98.60,1.70,0.50,2.50
2439.90,0.00,27.10,11.70,19596.00,30.77,91.60,2.24,15.78,87.40,6.50,7.30,4.40
4145.31,0.50,31.90,11.10,31236.00,27.63,80.00,1.00,15.60,80.10,3.60,15.10,4.20
1780.43,1.00,40.30,20.50,31674.00,20.36,88.38,4.28,7.93,79.00,16.40,4.60,6.40
600.23,1.00,38.40,16.30,24857.00,11.64,74.04,1.79,3.63,29.40,72.70,0.30,7.00
2089.50,1.00,30.70,11.20,27410.00,21.20,86.47,2.13,9.86,50.30,44.20,4.80,9.70
1116.35,1.00,38.70,16.40,26245.00,15.49,80.09,2.60,5.81,19.00,78.40,1.40,5.20
1044.47,1.00,35.90,12.10,26217.00,7.95,78.73,0.96,3.70,89.30,2.60,1.90,16.00
299.89,0.50,52.90,33.30,37500.00,10.86,91.29,5.05,2.65,78.50,0.00,0.60,26.80
1730.19,1.00,37.50,19.60,24804.00,12.73,81.68,2.67,5.33,95.60,1.00,2.40,13.50
2685.91,1.00,22.00,5.50,10013.00,27.91,96.48,1.62,18.13,81.40,4.80,14.90,11.20
1023.35,0.50,49.60,25.10,17593.00,11.53,85.08,3.28,5.50,97.80,3.10,2.70,3.60
1834.00,1.00,51.20,25.40,27419.00,2.51,86.37,0.00,0.00,100.00,0.00,0.00,2.40
2684.08,1.00,24.60,10.00,14094.00,27.95,94.72,3.14,14.25,90.20,6.10,5.00,4.70
1337.02,0.00,50.10,27.30,38090.00,31.65,91.32,7.44,13.39,99.20,0.80,0.00,0.80
1162.54,0.00,35.60,16.60,39675.00,21.31,93.09,3.74,9.36,99.30,1.30,0.00,3.40
1591.74,0.00,37.80,14.20,35823.00,19.96,89.07,4.34,6.99,99.10,1.10,0.40,3.10
719.82,0.00,38.10,19.10,29815.00,12.70,89.74,2.95,4.98,97.80,3.20,0.00,2.30
885.48,0.50,37.00,15.60,31312.00,12.89,86.02,3.40,4.71,92.20,7.60,0.60,7.10
1122.20,0.00,37.60,18.50,33745.00,25.58,92.04,5.20,11.52,96.70,1.50,1.00,5.40
785.63,0.50,45.30,20.80,40876.00,29.07,95.03,10.68,14.22,90.90,1.20,0.00,10.00
846.95,0.50,37.00,16.10,28652.00,16.30,86.04,3.07,6.80,84.00,1.20,0.20,23.00
873.28,1.00,39.10,17.20,27275.00,17.35,81.22,5.95,5.75,91.30,1.70,0.00,15.40
